Wall time,Step,Value
1551322737.9393744,5,5.209414482116699
1551322738.6985438,15,5.096445560455322
1551322738.9035938,18,5.028804779052734
1551322739.3866985,24,4.928299427032471
1551322740.548959,40,4.672067165374756
1551322740.7600095,42,4.793978691101074
1551322740.9010415,44,4.75071907043457
1551322740.977055,45,4.704883098602295
1551322741.1130853,47,4.665180683135986
1551322741.594193,53,4.696304798126221
1551322741.6622083,54,4.553455829620361
1551322741.7982383,56,4.719633102416992
1551322742.4893937,65,4.46476411819458
1551322742.9695013,71,4.395463943481445
1551322743.0375164,72,4.494739532470703
1551322743.1055315,73,4.3697309494018555
1551322743.1725502,74,4.372335433959961
1551322743.5146232,79,4.3842878341674805
1551322744.132762,87,4.296530723571777
1551322744.6798842,94,4.252890586853027
1551322745.299023,102,4.283030986785889
1551322745.5010717,105,4.014916896820068
1551322745.5690835,106,4.2442946434021
1551322746.1182098,113,4.2502031326293945
1551322746.4592826,118,4.048074722290039
1551322747.0764208,126,4.097222805023193
1551322747.2794664,129,4.018494129180908
1551322747.3474815,130,4.179030895233154
1551322748.0336387,139,3.9212002754211426
1551322748.2406816,141,4.057385444641113
1551322748.308697,142,3.7732696533203125
1551322748.853819,150,3.896435022354126
1551322749.2689152,155,4.091258525848389
1551322749.4709573,158,4.054852485656738
1551322750.1571114,167,3.8567605018615723
1551322750.2261267,168,3.8324942588806152
1551322750.9112833,177,3.6453440189361572
1551322750.978295,178,3.9769723415374756
1551322751.3903873,183,3.779099941253662
1551322751.5284183,185,3.844053030014038
1551322751.5984337,186,3.8613216876983643
1551322751.8714943,190,3.718380928039551
1551322752.487633,198,3.8269522190093994
1551322753.108772,206,3.7137691974639893
1551322753.1767874,207,3.7007431983947754
1551322753.2448025,208,3.6061081886291504
1551322753.5878828,212,3.7009389400482178
1551322754.412064,223,3.658233404159546
1551322754.8191547,229,3.5706026554107666
1551322755.2312515,234,3.680352210998535
1551322755.4352932,237,3.7141213417053223
1551322756.326493,249,3.523430824279785
1551322756.8046,255,3.4635519981384277
1551322757.1476765,260,3.5453603267669678
1551322757.4247391,263,3.6796634197235107
1551322757.6977994,267,3.6284189224243164
1551322758.0428774,271,3.4501655101776123
1551322758.1789112,273,3.475522756576538
1551322759.6192305,292,3.401588201522827
1551322759.9623103,297,3.409717082977295
1551322760.0303223,298,3.320406436920166
1551322760.4484158,303,3.5206825733184814
1551322760.7234812,307,3.420006513595581
1551322760.7924964,308,3.316786527633667
1551322760.929524,310,3.3491759300231934
1551322761.5576649,318,3.374213457107544
1551322761.6266809,319,3.3395116329193115
1551322762.1057873,325,3.254701852798462
1551322762.174803,326,3.5042426586151123
1551322762.2428172,327,3.465804100036621
1551322762.4488645,330,3.542604923248291
1551322763.135021,339,3.340017795562744
1551322763.7511592,347,3.6743035316467285
1551322764.9894328,363,3.338304042816162
1551322765.2644951,367,3.354619026184082
1551322765.7466025,373,3.479196071624756
1551322766.018667,377,3.3018457889556885
1551322766.1556978,379,3.2798867225646973
1551322767.121911,391,3.1871392726898193
1551322767.1899295,392,3.2815616130828857
1551322768.3511863,408,2.9431140422821045
1551322769.3844178,421,3.3926587104797363
1551322769.4524324,422,3.164719343185425
1551322769.5884666,424,3.211836814880371
1551322769.9995556,430,2.9583938121795654
1551322770.6897101,439,3.1536037921905518
1551322770.89876,441,3.394118547439575
1551322770.9677637,442,3.2302989959716797
1551322771.1728184,445,3.2712185382843018
1551322771.6549263,451,3.1855533123016357
1551322772.2690637,460,3.0615289211273193
1551322772.5481265,463,3.2284607887268066
1551322772.6161416,464,3.154893159866333
1551322773.3032959,473,3.063091516494751
1551322773.3733108,474,3.2454280853271484
1551322774.4695568,489,3.0371289253234863
1551322774.6806042,491,3.0058987140655518
1551322774.8166347,493,3.1610491275787354
1551322775.8448565,507,3.0974326133728027
1551322776.2609613,512,3.206698417663574
1551322776.3969877,514,3.018552541732788
1551322776.6010342,517,2.978300094604492
1551322777.2231734,525,3.3347771167755127
1551322777.7072818,531,3.214297294616699
1551322777.842312,533,3.1685914993286133
1551322778.0473614,536,3.1016106605529785
1551322778.5304666,542,2.9119229316711426
1551322778.8755438,547,3.0172502994537354
1551322779.6337135,557,2.8071560859680176
1551322779.7687438,559,2.987675189971924
1551322780.114825,563,3.2287609577178955
1551322780.5289176,569,2.9540529251098633
1551322780.8779922,573,2.8628036975860596
1551322780.947007,574,3.047096014022827
1551322781.2880874,579,2.9780099391937256
1551322781.497131,581,3.111433744430542
1551322781.5651462,582,3.1717348098754883
1551322781.7021768,584,3.049656867980957
1551322781.8392105,586,2.998056411743164
1551322781.907223,587,2.912848472595215
1551322782.3213155,592,2.8200018405914307
1551322782.3893344,593,2.8589906692504883
1551322783.0794888,602,2.828181266784668
1551322783.4915776,608,3.0793867111206055
1551322783.6286116,610,2.8716039657592773
1551322784.0417004,615,2.781827926635742
1551322784.3887784,620,3.0799672603607178
1551322784.5988255,622,2.7822265625
1551322785.4950294,634,2.909176826477051
1551322786.0491536,641,2.8977105617523193
1551322786.1171658,642,2.9401309490203857
1551322786.2541964,644,2.879045009613037
1551322786.3232117,645,2.8211476802825928
1551322786.3912275,646,2.757014751434326
1551322786.458242,647,2.9887611865997314
1551322786.5952728,649,2.804263114929199
1551322786.8743353,652,2.945889472961426
1551322787.1494002,656,2.9187612533569336
1551322787.5634894,661,2.9010889530181885
1551322787.7675388,664,3.0077178478240967
1551322788.0435972,668,3.0000884532928467
1551322788.3226595,671,2.8407397270202637
1551322788.3906748,672,2.9367318153381348
1551322788.5277057,674,2.7992217540740967
1551322788.5967212,675,2.88189697265625
1551322788.8007667,678,2.8307971954345703
1551322788.868782,679,2.9216225147247314
1551322789.1478446,682,2.9405105113983154
1551322789.2168593,683,2.8494367599487305
1551322789.5579364,688,2.70097279548645
1551322789.6259549,689,2.7830028533935547
1551322790.181076,696,2.92733097076416
1551322790.3861215,699,2.79403018951416
1551322790.733203,703,2.59272837638855
1551322790.9382455,706,2.986717939376831
1551322791.0782769,708,3.0251190662384033
1551322791.2163076,710,2.8612277507781982
1551322791.5613852,714,2.9986419677734375
1551322791.837447,718,2.8168869018554688
1551322792.113512,721,2.785377264022827
1551322792.1825244,722,2.940580129623413
1551322792.2505395,723,2.576653480529785
1551322792.7296503,730,2.931060552597046
1551322793.2137587,736,2.853548526763916
1551322793.3497853,738,2.7338039875030518
1551322793.418801,739,2.687140464782715
1551322793.7658792,743,2.7859625816345215
1551322794.0409322,747,2.6837069988250732
1551322794.2459862,750,2.74641489982605
1551322794.387018,751,2.7725090980529785
1551322794.4550369,752,2.9576146602630615
1551322794.5910637,754,2.9387388229370117
1551322794.7270942,756,2.796071767807007
1551322795.4192493,765,2.9578261375427246
1551322795.4862638,766,2.80192494392395
1551322795.6923137,769,2.6442630290985107
1551322795.7613294,770,2.8003439903259277
1551322795.9023576,771,2.7125542163848877
1551322796.038388,773,2.783414363861084
1551322796.108407,774,2.8890247344970703
1551322796.520496,780,2.604414701461792
1551322796.8675768,784,2.9115185737609863
1551322796.9365926,785,2.604365587234497
1551322797.0726194,787,2.678926944732666
1551322797.2106507,789,2.6878085136413574
1551322797.4877155,792,2.7156217098236084
1551322797.555728,793,2.7291197776794434
1551322797.623743,794,2.771512031555176
1551322797.6917584,795,2.9103806018829346
1551322797.8998082,798,2.8503284454345703
1551322798.2468827,802,2.674870014190674
1551322798.5899627,807,2.7574236392974854
1551322798.6579778,808,3.022350549697876
1551322798.7269933,809,2.77462100982666
1551322799.2121027,815,2.6538312435150146
1551322799.6992073,821,2.7322885990142822
1551322799.9742694,825,2.50061297416687
1551322800.182316,828,2.5476787090301514
1551322800.5293975,832,2.9784915447235107
1551322800.8094566,836,2.727086067199707
1551322800.9454904,838,2.800067186355591
1551322801.3615804,843,2.6368179321289062
1551322801.5666263,846,2.705334186553955
1551322803.1539817,867,2.5775415897369385
1551322803.2910125,869,2.749454975128174
1551322803.3600311,870,2.733488082885742
1551322803.7091062,874,2.6092488765716553
1551322803.847137,876,2.5079305171966553
1551322804.1201973,880,2.843895673751831
1551322804.3312457,882,2.672853708267212
1551322804.878368,890,2.565152168273926
1551322805.3654802,896,2.5552926063537598
1551322805.6385374,900,2.5331273078918457
1551322806.1926625,907,2.6315431594848633
1551322806.2606776,908,2.4922077655792236
1551322806.329693,909,2.489403009414673
1551322806.3977115,910,2.70180082321167
1551322806.8148017,915,2.7136785984039307
1551322806.9508357,917,2.6018691062927246
1551322807.1568813,920,2.7515530586242676
1551322807.2999103,921,2.7185888290405273
1551322807.4389415,923,2.5982816219329834
1551322808.0620813,931,2.6452810764312744
1551322808.1300998,932,2.8064796924591064
1551322808.3371458,935,2.3995201587677
1551322808.888266,942,2.5036702156066895
1551322809.0933123,945,2.4669852256774902
1551322809.7824664,954,2.617246627807617
1551322809.9194973,956,2.5502498149871826
1551322809.9885125,957,2.5769479274749756
1551322810.057531,958,2.75241756439209
1551322810.3375907,961,2.6017873287200928
