Wall time,Step,Value
1551317530.670219,5,0.009999999776482582
1551317531.4361706,15,0.009999999776482582
1551317531.6874993,18,0.029999999329447746
1551317532.2190769,24,0.029999999329447746
1551317533.7509806,40,0.019999999552965164
1551317534.031233,42,0.029999999329447746
1551317534.2376792,44,0.10000000149011612
1551317534.326443,45,0.05999999865889549
1551317534.5019727,47,0.019999999552965164
1551317535.4374707,53,0.05000000074505806
1551317535.5551565,54,0.09000000357627869
1551317535.766591,56,0.05999999865889549
1551317536.8357322,65,0.05000000074505806
1551317537.6106596,71,0.05000000074505806
1551317537.706403,72,0.03999999910593033
1551317537.8330662,73,0.019999999552965164
1551317537.994632,74,0.03999999910593033
1551317538.5960243,79,0.05000000074505806
1551317539.9514003,87,0.05000000074505806
1551317541.0065782,94,0.05000000074505806
1551317541.67878,102,0.019999999552965164
1551317541.8832333,105,0.07000000029802322
1551317541.947064,106,0.07999999821186066
1551317542.4716592,113,0.029999999329447746
1551317542.7828274,118,0.05999999865889549
1551317543.353302,126,0.07999999821186066
1551317543.5408008,129,0.10999999940395355
1551317543.6036327,130,0.07000000029802322
1551317544.2538936,139,0.07999999821186066
1551317544.4613392,141,0.12999999523162842
1551317544.5241706,142,0.15000000596046448
1551317545.0278242,150,0.14000000059604645
1551317545.4147892,155,0.18000000715255737
1551317545.6012902,158,0.23000000417232513
1551317546.256538,167,0.11999999731779099
1551317546.3183727,168,0.14000000059604645
1551317546.9456952,177,0.23000000417232513
1551317547.0095248,178,0.14000000059604645
1551317547.395493,183,0.10000000149011612
1551317547.5201588,185,0.12999999523162842
1551317547.5819936,186,0.1599999964237213
1551317547.8482814,190,0.10000000149011612
1551317548.4207506,198,0.15000000596046448
1551317549.0011985,206,0.1599999964237213
1551317549.0819826,207,0.15000000596046448
1551317549.1517966,208,0.1599999964237213
1551317549.544745,212,0.1899999976158142
1551317550.3037152,223,0.18000000715255737
1551317550.706638,229,0.14000000059604645
1551317551.0856242,234,0.12999999523162842
1551317551.27412,237,0.14000000059604645
1551317552.0959225,249,0.18000000715255737
1551317552.5387387,255,0.1599999964237213
1551317552.8509035,260,0.17000000178813934
1551317553.1062207,263,0.1899999976158142
1551317553.3615384,267,0.2199999988079071
1551317553.7096245,271,0.17000000178813934
1551317553.8512285,273,0.20999999344348907
1551317555.179677,292,0.15000000596046448
1551317555.4958305,297,0.1599999964237213
1551317555.5576653,298,0.20999999344348907
1551317555.940641,303,0.23999999463558197
1551317556.1899745,307,0.25999999046325684
1551317556.2528062,308,0.1599999964237213
1551317556.3784704,310,0.17000000178813934
1551317556.9509392,318,0.25999999046325684
1551317557.0137713,319,0.18000000715255737
1551317557.4545925,325,0.1899999976158142
1551317557.516427,326,0.18000000715255737
1551317557.5792594,327,0.20000000298023224
