Wall time,Step,Value
1551322737.9393744,5,0.009999999776482582
1551322738.6985438,15,0.009999999776482582
1551322738.9035938,18,0.03999999910593033
1551322739.3866985,24,0.05000000074505806
1551322740.548959,40,0.03999999910593033
1551322740.7600095,42,0.029999999329447746
1551322740.9010415,44,0.05999999865889549
1551322740.977055,45,0.10000000149011612
1551322741.1130853,47,0.09000000357627869
1551322741.594193,53,0.05999999865889549
1551322741.6622083,54,0.05999999865889549
1551322741.7982383,56,0.05000000074505806
1551322742.4893937,65,0.15000000596046448
1551322742.9695013,71,0.10999999940395355
1551322743.0375164,72,0.09000000357627869
1551322743.1055315,73,0.15000000596046448
1551322743.1725502,74,0.09000000357627869
1551322743.5146232,79,0.05999999865889549
1551322744.132762,87,0.09000000357627869
1551322744.6798842,94,0.17000000178813934
1551322745.299023,102,0.09000000357627869
1551322745.5010717,105,0.1599999964237213
1551322745.5690835,106,0.15000000596046448
1551322746.1182098,113,0.18000000715255737
1551322746.4592826,118,0.1599999964237213
1551322747.0764208,126,0.1899999976158142
1551322747.2794664,129,0.18000000715255737
1551322747.3474815,130,0.10000000149011612
1551322748.0336387,139,0.23000000417232513
1551322748.2406816,141,0.1599999964237213
1551322748.308697,142,0.23999999463558197
1551322748.853819,150,0.20999999344348907
1551322749.2689152,155,0.17000000178813934
1551322749.4709573,158,0.18000000715255737
1551322750.1571114,167,0.25
1551322750.2261267,168,0.23000000417232513
1551322750.9112833,177,0.1899999976158142
1551322750.978295,178,0.1899999976158142
1551322751.3903873,183,0.30000001192092896
1551322751.5284183,185,0.25
1551322751.5984337,186,0.20999999344348907
1551322751.8714943,190,0.23999999463558197
1551322752.487633,198,0.15000000596046448
1551322753.108772,206,0.25
1551322753.1767874,207,0.25
1551322753.2448025,208,0.2199999988079071
1551322753.5878828,212,0.25
1551322754.412064,223,0.2800000011920929
1551322754.8191547,229,0.2800000011920929
1551322755.2312515,234,0.25999999046325684
1551322755.4352932,237,0.1899999976158142
1551322756.326493,249,0.28999999165534973
1551322756.8046,255,0.3199999928474426
1551322757.1476765,260,0.3199999928474426
1551322757.4247391,263,0.20999999344348907
1551322757.6977994,267,0.18000000715255737
1551322758.0428774,271,0.28999999165534973
1551322758.1789112,273,0.2800000011920929
1551322759.6192305,292,0.28999999165534973
1551322759.9623103,297,0.3199999928474426
1551322760.0303223,298,0.38999998569488525
1551322760.4484158,303,0.25
1551322760.7234812,307,0.3199999928474426
1551322760.7924964,308,0.27000001072883606
1551322760.929524,310,0.36000001430511475
1551322761.5576649,318,0.30000001192092896
1551322761.6266809,319,0.3199999928474426
1551322762.1057873,325,0.25
1551322762.174803,326,0.27000001072883606
1551322762.2428172,327,0.3100000023841858
1551322762.4488645,330,0.1899999976158142
1551322763.135021,339,0.28999999165534973
1551322763.7511592,347,0.15000000596046448
1551322764.9894328,363,0.25999999046325684
1551322765.2644951,367,0.23999999463558197
1551322765.7466025,373,0.27000001072883606
1551322766.018667,377,0.23000000417232513
1551322766.1556978,379,0.3700000047683716
1551322767.121911,391,0.3400000035762787
1551322767.1899295,392,0.27000001072883606
1551322768.3511863,408,0.36000001430511475
1551322769.3844178,421,0.2800000011920929
1551322769.4524324,422,0.25999999046325684
1551322769.5884666,424,0.30000001192092896
1551322769.9995556,430,0.4399999976158142
1551322770.6897101,439,0.3499999940395355
1551322770.89876,441,0.33000001311302185
1551322770.9677637,442,0.30000001192092896
1551322771.1728184,445,0.3499999940395355
1551322771.6549263,451,0.3499999940395355
1551322772.2690637,460,0.3100000023841858
1551322772.5481265,463,0.38999998569488525
1551322772.6161416,464,0.33000001311302185
1551322773.3032959,473,0.3499999940395355
1551322773.3733108,474,0.3499999940395355
1551322774.4695568,489,0.3700000047683716
1551322774.6806042,491,0.4099999964237213
1551322774.8166347,493,0.33000001311302185
1551322775.8448565,507,0.33000001311302185
1551322776.2609613,512,0.2199999988079071
1551322776.3969877,514,0.36000001430511475
1551322776.6010342,517,0.3199999928474426
1551322777.2231734,525,0.2800000011920929
1551322777.7072818,531,0.25
1551322777.842312,533,0.27000001072883606
1551322778.0473614,536,0.28999999165534973
1551322778.5304666,542,0.4000000059604645
1551322778.8755438,547,0.41999998688697815
1551322779.6337135,557,0.4300000071525574
1551322779.7687438,559,0.3799999952316284
1551322780.114825,563,0.36000001430511475
1551322780.5289176,569,0.4099999964237213
1551322780.8779922,573,0.4000000059604645
1551322780.947007,574,0.3499999940395355
1551322781.2880874,579,0.2800000011920929
1551322781.497131,581,0.3100000023841858
1551322781.5651462,582,0.30000001192092896
1551322781.7021768,584,0.3700000047683716
1551322781.8392105,586,0.3499999940395355
1551322781.907223,587,0.4000000059604645
1551322782.3213155,592,0.4399999976158142
1551322782.3893344,593,0.4099999964237213
1551322783.0794888,602,0.3700000047683716
1551322783.4915776,608,0.33000001311302185
1551322783.6286116,610,0.4000000059604645
1551322784.0417004,615,0.4699999988079071
1551322784.3887784,620,0.41999998688697815
1551322784.5988255,622,0.5
1551322785.4950294,634,0.3100000023841858
1551322786.0491536,641,0.4000000059604645
1551322786.1171658,642,0.4000000059604645
1551322786.2541964,644,0.4300000071525574
1551322786.3232117,645,0.41999998688697815
1551322786.3912275,646,0.44999998807907104
1551322786.458242,647,0.3199999928474426
1551322786.5952728,649,0.36000001430511475
1551322786.8743353,652,0.3400000035762787
1551322787.1494002,656,0.36000001430511475
1551322787.5634894,661,0.3799999952316284
1551322787.7675388,664,0.36000001430511475
1551322788.0435972,668,0.33000001311302185
1551322788.3226595,671,0.38999998569488525
1551322788.3906748,672,0.3499999940395355
1551322788.5277057,674,0.3799999952316284
1551322788.5967212,675,0.36000001430511475
1551322788.8007667,678,0.3700000047683716
1551322788.868782,679,0.33000001311302185
1551322789.1478446,682,0.3199999928474426
1551322789.2168593,683,0.36000001430511475
1551322789.5579364,688,0.4300000071525574
1551322789.6259549,689,0.4300000071525574
1551322790.181076,696,0.38999998569488525
1551322790.3861215,699,0.28999999165534973
1551322790.733203,703,0.46000000834465027
1551322790.9382455,706,0.33000001311302185
1551322791.0782769,708,0.36000001430511475
1551322791.2163076,710,0.3700000047683716
1551322791.5613852,714,0.3499999940395355
1551322791.837447,718,0.36000001430511475
1551322792.113512,721,0.4300000071525574
1551322792.1825244,722,0.3499999940395355
1551322792.2505395,723,0.4699999988079071
1551322792.7296503,730,0.30000001192092896
1551322793.2137587,736,0.3499999940395355
1551322793.3497853,738,0.3499999940395355
1551322793.418801,739,0.44999998807907104
1551322793.7658792,743,0.38999998569488525
1551322794.0409322,747,0.4399999976158142
1551322794.2459862,750,0.47999998927116394
1551322794.387018,751,0.38999998569488525
1551322794.4550369,752,0.3700000047683716
1551322794.5910637,754,0.38999998569488525
1551322794.7270942,756,0.41999998688697815
1551322795.4192493,765,0.30000001192092896
1551322795.4862638,766,0.4000000059604645
1551322795.6923137,769,0.46000000834465027
1551322795.7613294,770,0.36000001430511475
1551322795.9023576,771,0.36000001430511475
1551322796.038388,773,0.33000001311302185
1551322796.108407,774,0.3199999928474426
1551322796.520496,780,0.4300000071525574
1551322796.8675768,784,0.4000000059604645
