Wall time,Step,Value
1551317530.670219,5,5.267698764801025
1551317531.4361706,15,5.244904041290283
1551317531.6874993,18,5.243423938751221
1551317532.2190769,24,5.231893539428711
1551317533.7509806,40,5.19338846206665
1551317534.031233,42,5.202075958251953
1551317534.2376792,44,5.174168109893799
1551317534.326443,45,5.200654983520508
1551317534.5019727,47,5.177028656005859
1551317535.4374707,53,5.194030284881592
1551317535.5551565,54,5.139393329620361
1551317535.766591,56,5.1781325340271
1551317536.8357322,65,5.140559673309326
1551317537.6106596,71,5.135936260223389
1551317537.706403,72,5.131200790405273
1551317537.8330662,73,5.153510570526123
1551317537.994632,74,5.142094135284424
1551317538.5960243,79,5.1155829429626465
1551317539.9514003,87,5.113754749298096
1551317541.0065782,94,5.093471527099609
1551317541.67878,102,5.113395690917969
1551317541.8832333,105,5.104068756103516
1551317541.947064,106,5.064128875732422
1551317542.4716592,113,5.081364154815674
1551317542.7828274,118,5.061619758605957
1551317543.353302,126,5.025661468505859
1551317543.5408008,129,5.025069236755371
1551317543.6036327,130,5.062910556793213
1551317544.2538936,139,5.058610916137695
1551317544.4613392,141,5.031503200531006
1551317544.5241706,142,4.9962239265441895
1551317545.0278242,150,5.020922660827637
1551317545.4147892,155,4.972743988037109
1551317545.6012902,158,4.9516754150390625
1551317546.256538,167,4.974809169769287
1551317546.3183727,168,4.996912479400635
1551317546.9456952,177,4.911001682281494
1551317547.0095248,178,4.952382564544678
1551317547.395493,183,4.980731010437012
1551317547.5201588,185,4.961532115936279
1551317547.5819936,186,4.9252095222473145
1551317547.8482814,190,4.962589740753174
1551317548.4207506,198,4.911497116088867
1551317549.0011985,206,4.910428047180176
1551317549.0819826,207,4.896999359130859
1551317549.1517966,208,4.881172180175781
1551317549.544745,212,4.885138988494873
1551317550.3037152,223,4.85849142074585
1551317550.706638,229,4.858000755310059
1551317551.0856242,234,4.828875541687012
1551317551.27412,237,4.872195720672607
1551317552.0959225,249,4.827908039093018
1551317552.5387387,255,4.8131208419799805
1551317552.8509035,260,4.824901580810547
1551317553.1062207,263,4.783685684204102
1551317553.3615384,267,4.789461612701416
1551317553.7096245,271,4.748883247375488
1551317553.8512285,273,4.750048637390137
1551317555.179677,292,4.7385735511779785
1551317555.4958305,297,4.804217338562012
1551317555.5576653,298,4.712373733520508
1551317555.940641,303,4.753242015838623
1551317556.1899745,307,4.724382400512695
1551317556.2528062,308,4.765600681304932
1551317556.3784704,310,4.710240364074707
1551317556.9509392,318,4.73581075668335
1551317557.0137713,319,4.768791675567627
1551317557.4545925,325,4.739381313323975
1551317557.516427,326,4.793944358825684
1551317557.5792594,327,4.708652496337891
1551317557.7667575,330,4.682994842529297
1551317558.4279895,339,4.695116996765137
1551317559.011429,347,4.657711029052734
1551317560.2092261,363,4.634955883026123
1551317560.4765115,367,4.675046920776367
1551317560.9342868,373,4.659666061401367
1551317561.1846175,377,4.687844276428223
1551317561.3092844,379,4.682685375213623
1551317562.1979077,391,4.59172248840332
1551317562.2597425,392,4.642556667327881
1551317563.3757582,408,4.670007228851318
1551317564.3770802,421,4.6245503425598145
1551317564.439912,422,4.568209171295166
1551317564.5665739,424,4.600982666015625
1551317564.9425683,430,4.607248306274414
1551317565.6077893,439,4.551440238952637
1551317565.79828,441,4.539315223693848
1551317565.8601146,442,4.5622172355651855
